date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:15	16790/16790	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2016:15:16%20GMT	https://imdhirajchouhan.webflow.io/	D:/dhiraj%20chouhan/dhiraj%20chouhan/imdhirajchouhan.webflow.io/index.html	(from )
21:45:15	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Sun,%2026%20Dec%202021%2016:15:16%20GMT	https://imdhirajchouhan.webflow.io/robots.txt		(from )
21:45:17	54667/54667	---M-Z	200	added ('OK')	text/css	etag:%2294ca1ab515a36d86805918211e5867a0%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/css/imdhirajchouhan.webflow.8b250c2a2.css	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/css/imdhirajchouhan.webflow.8b250c2a2.css	(from https://imdhirajchouhan.webflow.io/)
21:45:17	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	D:/dhiraj%20chouhan/dhiraj%20chouhan/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://imdhirajchouhan.webflow.io/)
21:45:17	505/505	---M--	200	added ('OK')	image/png	etag:%22ba829be79c950dbd9fd9769d0f64985c%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c0d706129d8ff1a1e1d66c_dhiraj%20chouhan.png	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c0d706129d8ff1a1e1d66c_dhiraj%20chouhan.png	(from https://imdhirajchouhan.webflow.io/)
21:45:18	2532/2532	---M--	200	added ('OK')	image/png	etag:%22e46c9fc4e69b8466fb218ba8ab5217c7%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c0d74aff2e6ddff8f2f0a2_Dhiraj%20chouhan%20(1).png	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c0d74aff2e6ddff8f2f0a2_Dhiraj%20chouhan%20(1).png	(from https://imdhirajchouhan.webflow.io/)
21:45:19	327241/327241	---M--	200	added ('OK')	image/jpeg	etag:%221fb4b19b92eaed9d605bdccf7e533796%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c1feca8b286899541e8cc7_Group%2043.jpg	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c1feca8b286899541e8cc7_Group%2043.jpg	(from https://imdhirajchouhan.webflow.io/)
21:45:19	88960/88960	---M--	200	added ('OK')	image/jpeg	etag:%22a32725476e452d5f2d89a18994412328%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c21381fdd84f8684ec383a_project%201%20m.jpg	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c21381fdd84f8684ec383a_project%201%20m.jpg	(from https://imdhirajchouhan.webflow.io/)
21:45:19	116066/116066	---M--	200	added ('OK')	image/jpeg	etag:%22348edc9d6afdbda7be567a4541546e84%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c208525da113fc4f654e9f_project%201.jpg	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c208525da113fc4f654e9f_project%201.jpg	(from https://imdhirajchouhan.webflow.io/)
21:45:20	54942/54942	---M--	200	added ('OK')	image/png	etag:%221a5216816c39cde4d347a5a3d05983f2%22	https://uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c20c8a6c31de7a492c2800_project%202.png	D:/dhiraj%20chouhan/dhiraj%20chouhan/uploads-ssl.webflow.com/61c0d6ad107d31176a31c797/61c20c8a6c31de7a492c2800_project%202.png	(from https://imdhirajchouhan.webflow.io/)
